City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
253,el calafate,-50.3408,-72.2768,-1.1999999999999886,84,62,1.72,AR,1693473749
254,laguna,38.421,-121.4238,24.32000000000005,59,0,2.57,US,1693473751
255,ketchikan,55.3422,-131.6461,14.260000000000048,94,100,0.0,US,1693473754
256,la'ie,21.6477,-157.9253,26.980000000000018,81,6,6.71,US,1693473756
257,vila franca do campo,37.7167,-25.4333,23.230000000000018,75,92,0.85,PT,1693473759
258,gebeit,21.0667,36.3167,36.0,28,1,4.3,SD,1693473761
259,qingdao,36.0986,120.3719,27.78000000000003,51,20,6.0,CN,1693473763
260,nishinoomote,30.7333,131.0,27.310000000000002,100,75,4.63,JP,1693473646
261,lompoc,34.6391,-120.4579,20.430000000000007,96,0,0.0,US,1693473768
262,sao vicente,-23.9631,-46.3919,18.480000000000018,26,30,0.82,BR,1693473771
263,south hedland,-20.4089,118.5983,28.960000000000036,30,1,5.66,AU,1693473773
264,lebu,-37.6167,-73.65,6.720000000000027,83,71,2.44,CL,1693473776
265,camarinas,43.1311,-9.1817,22.32000000000005,81,14,0.94,ES,1693473778
266,pasuquin,18.3328,120.6177,27.970000000000027,89,100,6.17,PH,1693473780
267,amga,60.8953,131.9608,22.82000000000005,58,0,1.64,RU,1693473783
268,gamba,-2.65,10.0,24.260000000000048,78,88,3.1,GA,1693473785
269,roma,43.2128,-75.4557,12.07000000000005,95,20,0.0,US,1693473788
270,tarakan,3.3,117.6333,29.720000000000027,84,20,3.09,ID,1693473790
271,rabak,13.1809,32.74,29.460000000000036,56,39,7.71,SD,1693473793
272,zaigrayevo,51.8336,108.2703,26.810000000000002,25,54,1.46,RU,1693473795
273,lhuentse,27.6679,91.1839,26.180000000000007,82,81,2.13,BT,1693473798
274,aasiaat,68.7098,-52.8699,2.57000000000005,88,100,8.6,GL,1693473800
275,noumea,-22.2763,166.4572,23.33000000000004,99,26,0.34,NC,1693473803
276,vizinga,61.0749,50.1031,18.810000000000002,44,19,3.35,RU,1693473805
277,newnham,-41.3833,147.1333,9.060000000000002,61,10,2.57,AU,1693473808
278,taro,-8.3862,115.28,23.0,76,86,2.24,ID,1693473810
279,weligama,5.9667,80.4167,27.83000000000004,76,96,6.07,LK,1693473813
280,funadhoo,6.15,73.2667,27.950000000000045,75,100,10.24,MV,1693473815
281,baume-les-dames,47.353,6.3612,17.140000000000043,78,90,3.73,FR,1693473818
282,nema,57.5067,50.5011,18.870000000000005,40,0,6.8,RU,1693473820
283,zadonsk,52.3904,38.9261,26.450000000000045,35,4,2.74,RU,1693473823
284,rongelap,11.1635,166.8941,28.680000000000007,78,48,7.53,MH,1693473825
285,nova vicosa,-17.8919,-39.3719,23.49000000000001,94,92,1.09,BR,1693473827
286,barcelos,41.5388,-8.6151,24.400000000000034,57,0,0.91,PT,1693473830
287,dabakala,8.3667,-4.4333,23.25,94,100,1.98,CI,1693473832
288,sliven,42.6858,26.3292,29.200000000000045,34,62,0.59,BG,1693473835
289,atlantic city,39.3643,-74.4229,18.890000000000043,77,0,3.6,US,1693473837
290,macheng,31.1783,115.0319,30.57000000000005,49,0,2.47,CN,1693473839
291,santa ana,33.7456,-117.8678,24.29000000000002,95,100,1.54,US,1693473842
292,gasa,31.5,34.4667,30.810000000000002,51,0,3.99,PS,1693473844
293,elmadag,39.9208,33.2308,31.30000000000001,22,23,4.39,TR,1693473847
294,qarauyl,48.9451,79.255,19.0,28,99,9.72,KZ,1693473849
295,hithadhoo,-0.6,73.0833,27.5,74,83,2.98,MV,1693473852
296,kayangel,8.0823,134.7173,28.5,83,68,5.68,PW,1693473857
297,hasaki,35.7333,140.8333,29.610000000000014,80,94,5.53,JP,1693473859
298,hassi messaoud,31.6804,6.0729,28.920000000000016,58,40,1.54,DZ,1693473862
299,nyurba,63.2842,118.3319,21.600000000000023,45,1,5.47,RU,1693473864
300,kailua-kona,19.6406,-155.9956,28.110000000000014,86,40,1.54,US,1693473867
301,omaruru,-21.4333,15.9333,27.74000000000001,20,0,2.16,NA,1693473869
302,aras-asan,8.8908,126.3033,27.900000000000034,83,50,1.78,PH,1693473872
303,aykhal,66.0,111.5,4.760000000000048,67,100,9.28,RU,1693473874
304,kavaratti,10.5669,72.642,27.840000000000032,80,80,7.37,IN,1693473876
305,la passe,45.5549,-0.8967,21.129999999999995,80,100,5.41,FR,1693473879
306,kindu,-2.95,25.95,32.22000000000003,41,57,1.71,CD,1693473881
307,luganville,-15.5333,167.1667,24.620000000000005,94,78,2.35,VU,1693473884
308,mitu,1.1983,-70.1733,22.24000000000001,92,96,0.88,CO,1693473886
309,tarecuato,19.85,-102.4833,15.57000000000005,94,100,0.21,MX,1693473889
310,sompeta,18.9333,84.6,32.60000000000002,56,75,2.77,IN,1693473891
311,oriximina,-1.7656,-55.8661,24.410000000000025,59,3,1.14,BR,1693473893
312,gadzhiyevo,69.2551,33.3362,15.840000000000032,71,94,2.3,RU,1693473896
313,iwanai,42.9744,140.5089,24.860000000000014,93,67,2.52,JP,1693473841
314,liman,48.9884,37.8023,29.390000000000043,14,0,4.62,UA,1693473901
315,kone,-21.0595,164.8658,21.24000000000001,92,90,2.17,NC,1693473903
316,polyarnyy,69.1989,33.4478,15.950000000000045,71,94,2.03,RU,1693473906
317,nyons,44.3333,5.1667,20.860000000000014,49,26,3.37,FR,1693473908
318,katsuren-haebaru,26.3369,127.8719,31.010000000000048,79,75,6.17,JP,1693473647
319,hammerfest,70.6634,23.6821,15.25,77,20,0.0,NO,1693473913
320,carahue,-38.7,-73.1667,3.420000000000016,96,100,1.34,CL,1693473915
321,effingham,32.3669,-81.3332,23.25,95,97,5.04,US,1693473918
322,callao,-12.0667,-77.15,19.840000000000032,77,100,2.57,PE,1693473920
323,codrington,-38.2667,141.9667,11.379999999999995,74,87,7.16,AU,1693473925
324,incheon,37.45,126.4161,25.99000000000001,69,0,4.12,KR,1693473603
325,mayahi,13.9553,7.6712,29.879999999999995,59,100,5.98,NE,1693473930
326,zhoukou,33.6333,114.6333,29.939999999999998,56,0,2.44,CN,1693473933
327,tanjungagung,-3.9333,103.8,33.49000000000001,35,99,2.73,ID,1693473935
328,dhamar,14.5427,44.4051,22.650000000000034,36,74,3.01,YE,1693473938
329,konarka,19.9,86.1167,33.22000000000003,65,89,4.03,IN,1693473940
330,yuzhno-kurilsk,44.0306,145.8556,18.900000000000034,97,94,6.82,RU,1693473943
